City,State,Direction,Road With Highest Traffic,Road which is most affected by Rain,Road where Max.accidents occur,No.of Fatality,Rank in Terms of Cleanliness
AHEMDABAD,GUJARAT ,WEST ,THAKKARBAPA NAGAR ROAD ,AMBLI MAIN ROAD ,SARDAR PATEL RING ROAD,953,7
ALAPPUZHA,TAMIL NADU,SOUTH,Alappuzha-Changanassery  Road,CCNB ROAD NEAR BEACH ,PURAKKADU ROAD ,409,380
AURANGABAD,MAHARASHTRA,WEST ,JUNA BAZZAR,SHAHANOOR MIYAN DARGHA ROAD ,JALNA ROAD,199,179
BHUBANESHWAR,ODISHA,EAST,NANDAN KANAN ROAD,NATIONAL HIGHWAY 16 ,SHAHEED  NAGAR ROAD,5315,288
BIKANER,RAJASTHAN,NORTH,STATION ROAD,KAKDA VILLAGE ROAD,NATIONAL HIGHWAY 11,893,319
CHENNAI,TAMIL NADU,SOUTH,POONAMALLE HIGH ROAD ,WALL TAX ROAD,NEW AVADI ROAD,10525,312
COIMBATORE,TAMIL NADU,SOUTH,AVINASHI ROAD,SARAVANAMPATTI ROAD,POLLACHI MAIN ROAD,1548,40
CUTTACK,ODISHA,EAST,LINK ROAD,MILENNIUM CITY ROAD ,KALYANI NAGAR ROAD,350,232
DARJEELING,WEST BENGAL,EAST,AVIJIT SINHA TT ROAD,PAGLAJHORA AREA ,THE HILL CART ROAD,500,129
DHARAMSHALA,HIMACHAL PRADESH,NORTH ,McLeodganj ,MCLEODGANJ ,GHERA ROAD,278,629
GANDHINAGAR,GUJARAT ,WEST ,PATHIKASHRAM BUS STOP ROAD,CG ROAD,UVARSAD VAVOL ROAD,180,8
HOWRAH,WEST BENGAL,EAST,HARIMOHAN BOSE ROAD ,DESHPRAN SASHMAL ROAD,KASHYAPPUR ROAD,300,275
JAIPUR,RAJASTHAN,NORTH ,AMER ROAD ,TRI MURTI CIRCLE,BAJAJ NAGAR,753,44
JAISALMER,RAJASTHAN,NORTH ,NHAI,GADISAR CHAURAHA,NULL,161,50
KHARAGPUR,ODISHA,EAST,DIGHA ROAD,MORGRAM ROAD,DANTAN ROAD,6180,57
KOCHI,KERELA,SOUTH,SAHODARAN AYYAPPAN ROAD,PALARIVATTOM KAKKANAD ROAD,VALLARPADAM BRIDGE,155,372
KOLAM,KERELA,SOUTH,PARAVUR COASTEL ROAD,FATHIMA ROAD,NULL,125,300
KOLHAPUR,MAHARASHTRA,WEST ,CPR CHOWK ROAD,GAGANBAWDA ROAD,HUPARII ROAD,200,16
KOLKATA,WEST BENGAL,EAST,VIAMICHELIN,CR AVENUE,BYPASS ROAD,294,255
KONARK,ODISHA,EAST,PIPILI KONARK ROAD,NIMAPADA-ASTARANGA ROAD ,PURI MAAN ROAD,200,166
KOTA,RAJASTHAN,NORTH,JHALAWAR MARG,KAITHUN TOWN ROAD ,BARAN-BUNDI ROAD,1500,302
KOZHIKODE,KERELA,SOUTH,PAVANGAD-MANACHIRA ,PAYYOLI PERAMBRA ROAD ,LENGPUI NAGAR,179,254
MADURAI,TAMIL NADU,SOUTH,ELLIS NAGAR ROAD,PALAM STATION ROAD ,C.C. ROAD,10500,42
MANALI,HIMACHAL PRADESH,NORTH,MANALI-ROHTANG HIGHWAY,MALL ROAD ,DHUNDI NAGAR,150,477
MANDI,HIMACHAL PRADESH,NORTH,MAHANAGAR ROAD ,PAONTA SAHIB ,KARHA NAGAR,100,75
MALDA,WEST BENGAL,EAST,RATUA-SAMSI ,MANICHAK GHAT,SAMSI-GOZOLE,99,382
MEHSANA,GUJARAT ,WEST ,RADHANPURA CROSS ROAD ,UNJHA ROAD,NULL,256,99
MUMBAI,MAHARASHTRA,WEST ,SAKI-NAKA,CHARNI ROAD,VAIDYA MARG ,373,49
NAGPUR,MAHARASHTRA,WEST ,AATH RASTA CHOWK,NAGPUR RAIPUR NH ROAD,KHAPRI CHOCK,250,15
PUNE,MAHARASHTRA,WEST ,PIMPRI CHINCHWAD,SINGHGAD ROAD,MAI MAGESHKAR CHOWK,12000,14
PURI,ODISHA,EAST,BADSHAHI ROAD ,KORAPUT NAGAR ,PHULNAKHARA NIALI ROAD ,448,256
RAJKOT,GUJARAT ,WEST ,KKV CHOWK,SARDARNAGAR MAIN ROAD,GREENLAND CHOWKDI,2000,6
SALEM,TAMIL NADU,SOUTH,NATIONAL HIGHWAY 79,RAJA VAIKKAL ROA,HAYES ROAD,800,173
SAMBALPUR,ODISHA,EAST,AINTHAPALI CHOWK,MOTIJHARAN ,SONEPUR ROAD,4115,243
SHIMLA,HIMACHAL PRADESH,NORTH,VIKASNAGAR,LAHAUL-SPITI,SHOGI MEHLI JUNGA ,2155,65
SOLAN,HIMACHAL PRADESH,NORTH,SOLAN-WAKNAGHAT ,NULL,KFRII CHAIL KHANDAGHAT,269,159
SURAT,GUJARAT ,WEST ,BAMROLI ALTHAN EXPRESSWAY,VIP ROAD,HAJIRA-PALSANA,213,2
THRISSUR,KERELA,SOUTH,SWARAJ ROUND,NULL,CHACAKKAD KODUNGALLUR,211,324
UDAIPUR,RAJASTHAN,NORTH,RANI ROAD,BHONGRA RAOD,BHUWNA BYPASS,1218,54
VELLORE,TAMIL NADU,SOUTH,AMMARVARPALLI ROAD ,KATPADI ROAD,PUNGANUR ROAD,644,272
